model_type,test_score,total_time,dataset,average_mismatches,valid_score,train_score,num_params,exit_code,name
vae,"(57.83503341674805, 42.94435501098633, 14.890677452087402)",24.497095823287964,synthetic_unimodal_data_length_100_skewed_gaussian,90.554,"(55.47410202026367, 40.30065155029297, 15.17345142364502)","(40.253746032714844, 24.225528717041016, 16.028217315673828)",814440,0,vae_hidden_size_200_batch_size_10_lr_0.0003
vae,"(55.109615325927734, 44.097232818603516, 11.01237964630127)",12.020264148712158,synthetic_unimodal_data_length_100_skewed_gaussian,82.767,"(54.10366439819336, 42.9826545715332, 11.12100887298584)","(31.021137237548828, 19.435583114624023, 11.585551261901855)",814440,0,vae_hidden_size_200_batch_size_20_lr_0.003
vae,"(51.576934814453125, 43.06049728393555, 8.516438484191895)",19.213706731796265,synthetic_unimodal_data_length_100_skewed_gaussian,84.568,"(49.458614349365234, 40.88813018798828, 8.57048225402832)","(30.001733779907227, 21.069257736206055, 8.932474136352539)",814440,0,vae_hidden_size_200_batch_size_20_lr_0.001
vae,"(56.00388717651367, 40.77410125732422, 15.229788780212402)",25.241612911224365,synthetic_unimodal_data_length_100_skewed_gaussian,88.523,"(54.95002365112305, 39.538330078125, 15.411691665649414)","(37.225643157958984, 21.029470443725586, 16.1961727142334)",814440,0,vae_hidden_size_200_batch_size_20_lr_0.0003
vae,"(63.605194091796875, 57.61102294921875, 5.994168758392334)",10.787207126617432,synthetic_unimodal_data_length_100_uniform,76.973,"(46.23705291748047, 40.126583099365234, 6.110471248626709)","(25.343408584594727, 19.1455078125, 6.197900772094727)",408240,0,vae_hidden_size_100_batch_size_10_lr_0.003
vae,"(56.510494232177734, 47.66468811035156, 8.845806121826172)",14.150735855102539,synthetic_unimodal_data_length_100_uniform,84.982,"(44.75437545776367, 35.58518600463867, 9.169188499450684)","(34.99135208129883, 25.677499771118164, 9.313852310180664)",408240,0,vae_hidden_size_100_batch_size_10_lr_0.001
vae,"(68.04820251464844, 48.67203903198242, 19.376161575317383)",15.54464864730835,synthetic_unimodal_data_length_100_uniform,90.781,"(57.48569869995117, 37.2552375793457, 20.230464935302734)","(50.393524169921875, 29.877256393432617, 20.516271591186523)",408240,0,vae_hidden_size_100_batch_size_10_lr_0.0003
vae,"(58.131893157958984, 52.5560417175293, 5.575850963592529)",11.489768981933594,synthetic_unimodal_data_length_100_uniform,78.633,"(39.11234664916992, 33.35997009277344, 5.752374172210693)","(27.125822067260742, 21.46420669555664, 5.661614894866943)",408240,0,vae_hidden_size_100_batch_size_20_lr_0.003
vae,"(58.58005905151367, 46.709529876708984, 11.870528221130371)",14.841781854629517,synthetic_unimodal_data_length_100_uniform,86.893,"(42.9808349609375, 30.63819694519043, 12.34264087677002)","(35.6510009765625, 23.247217178344727, 12.403783798217773)",408240,0,vae_hidden_size_100_batch_size_20_lr_0.001
vae,"(67.23827362060547, 47.776493072509766, 19.461780548095703)",17.776785850524902,synthetic_unimodal_data_length_100_uniform,91.181,"(56.035152435302734, 35.5400276184082, 20.4951229095459)","(50.411537170410156, 29.587438583374023, 20.824098587036133)",408240,0,vae_hidden_size_100_batch_size_20_lr_0.0003
vae,"(61.0671501159668, 55.26839065551758, 5.7987589836120605)",12.774290084838867,synthetic_unimodal_data_length_100_uniform,76.789,"(37.88007354736328, 31.87997817993164, 6.000093460083008)","(26.325674057006836, 20.201147079467773, 6.124526500701904)",814440,0,vae_hidden_size_200_batch_size_10_lr_0.003
vae,"(59.932777404785156, 50.889156341552734, 9.04361629486084)",16.286499500274658,synthetic_unimodal_data_length_100_uniform,84.946,"(42.081031799316406, 32.72822189331055, 9.352807998657227)","(32.021549224853516, 22.55458641052246, 9.466960906982422)",814440,0,vae_hidden_size_200_batch_size_10_lr_0.001
vae,"(61.87957763671875, 46.385860443115234, 15.493718147277832)",24.885294675827026,synthetic_unimodal_data_length_100_uniform,88.607,"(45.983367919921875, 29.8568058013916, 16.126564025878906)","(38.6929931640625, 22.27414894104004, 16.41884422302246)",814440,0,vae_hidden_size_200_batch_size_10_lr_0.0003
vae,"(65.65625, 60.99739456176758, 4.658858776092529)",15.97591233253479,synthetic_unimodal_data_length_100_uniform,72.744,"(40.40770721435547, 35.58393096923828, 4.823775768280029)","(22.28717613220215, 17.59986114501953, 4.687314510345459)",814440,0,vae_hidden_size_200_batch_size_20_lr_0.003
vae,"(62.461944580078125, 54.486751556396484, 7.975196361541748)",20.088075160980225,synthetic_unimodal_data_length_100_uniform,85.189,"(41.5888671875, 33.30601119995117, 8.282856941223145)","(32.49235916137695, 24.12110710144043, 8.371251106262207)",814440,0,vae_hidden_size_200_batch_size_20_lr_0.001
vae,"(63.980018615722656, 49.37678909301758, 14.603230476379395)",26.632202625274658,synthetic_unimodal_data_length_100_uniform,89.38,"(45.415889739990234, 30.1490421295166, 15.266845703125)","(43.29029083251953, 27.81760597229004, 15.472683906555176)",814440,0,vae_hidden_size_200_batch_size_20_lr_0.0003
vae,"(38.85567855834961, 36.473873138427734, 2.3818070888519287)",3.832282543182373,synthetic_unimodal_data_length_20_gaussian,16.841,"(33.126617431640625, 30.34462547302246, 2.7819926738739014)","(20.221162796020508, 16.51654624938965, 3.7046163082122803)",86640,0,vae_hidden_size_100_batch_size_10_lr_0.003
vae,"(38.29846954345703, 34.94129180908203, 3.357177495956421)",4.6237263679504395,synthetic_unimodal_data_length_20_gaussian,17.556,"(36.0124397277832, 32.16750717163086, 3.844933271408081)","(22.4381160736084, 17.5494327545166, 4.8886823654174805)",86640,0,vae_hidden_size_100_batch_size_10_lr_0.001
vae,"(42.36280822753906, 37.06657409667969, 5.296233177185059)",4.983311414718628,synthetic_unimodal_data_length_20_gaussian,18.204,"(38.10383224487305, 31.648935317993164, 6.454894542694092)","(32.50679397583008, 24.236541748046875, 8.270251274108887)",86640,0,vae_hidden_size_100_batch_size_10_lr_0.0003
vae,"(37.522708892822266, 35.33260726928711, 2.1901040077209473)",4.2795281410217285,synthetic_unimodal_data_length_20_gaussian,16.382,"(35.14813232421875, 32.53982925415039, 2.6083052158355713)","(19.94767951965332, 16.342529296875, 3.605149507522583)",86640,0,vae_hidden_size_100_batch_size_20_lr_0.003
vae,"(39.28680419921875, 36.072608947753906, 3.214197874069214)",4.401970863342285,synthetic_unimodal_data_length_20_gaussian,17.012,"(35.17112350463867, 31.534177780151367, 3.6369476318359375)","(21.05474853515625, 16.32675552368164, 4.727993011474609)",86640,0,vae_hidden_size_100_batch_size_20_lr_0.001
vae,"(42.50526428222656, 36.844608306884766, 5.66065788269043)",5.0505757331848145,synthetic_unimodal_data_length_20_gaussian,18.195,"(40.2111930847168, 33.7938117980957, 6.417382717132568)","(30.51958656311035, 22.18700408935547, 8.332582473754883)",86640,0,vae_hidden_size_100_batch_size_20_lr_0.0003
vae,"(38.6697998046875, 36.504940032958984, 2.16485857963562)",4.629506349563599,synthetic_unimodal_data_length_20_gaussian,16.287,"(37.541561126708984, 35.10615158081055, 2.4354090690612793)","(20.210296630859375, 16.888490676879883, 3.3218066692352295)",172840,0,vae_hidden_size_200_batch_size_10_lr_0.003
vae,"(38.22333908081055, 35.38646697998047, 2.836874008178711)",4.945806264877319,synthetic_unimodal_data_length_20_gaussian,16.895,"(39.58430862426758, 36.39121627807617, 3.193089723587036)","(20.613445281982422, 16.280746459960938, 4.332698345184326)",172840,0,vae_hidden_size_200_batch_size_10_lr_0.001
vae,"(37.52797317504883, 34.342037200927734, 3.1859357357025146)",5.476541519165039,synthetic_unimodal_data_length_20_gaussian,17.406,"(34.54250717163086, 30.733295440673828, 3.809213399887085)","(21.662851333618164, 16.853639602661133, 4.809211254119873)",172840,0,vae_hidden_size_200_batch_size_10_lr_0.0003
vae,"(37.95718765258789, 35.977088928222656, 1.9801002740859985)",4.856752157211304,synthetic_unimodal_data_length_20_gaussian,16.32,"(35.68752670288086, 33.4265251159668, 2.261000871658325)","(20.694639205932617, 17.599374771118164, 3.095264434814453)",172840,0,vae_hidden_size_200_batch_size_20_lr_0.003
vae,"(39.881649017333984, 36.687129974365234, 3.1945180892944336)",5.623574495315552,synthetic_unimodal_data_length_20_gaussian,17.114,"(34.13117599487305, 30.280017852783203, 3.851158618927002)","(20.9545841217041, 16.015018463134766, 4.939566612243652)",172840,0,vae_hidden_size_200_batch_size_20_lr_0.001
vae,"(38.51163864135742, 34.8310661315918, 3.680569887161255)",5.935497283935547,synthetic_unimodal_data_length_20_gaussian,17.78,"(34.05133819580078, 29.824726104736328, 4.22661018371582)","(25.804752349853516, 20.04388427734375, 5.760868549346924)",172840,0,vae_hidden_size_200_batch_size_20_lr_0.0003
vae,"(37.209808349609375, 34.827850341796875, 2.3819591999053955)",3.8321900367736816,synthetic_unimodal_data_length_20_skewed_gaussian,16.024,"(35.7121696472168, 33.1815299987793, 2.5306396484375)","(22.184188842773438, 19.00874900817871, 3.17543888092041)",86640,0,vae_hidden_size_100_batch_size_10_lr_0.003
vae,"(36.2614860534668, 32.26340103149414, 3.99808669090271)",4.539355993270874,synthetic_unimodal_data_length_20_skewed_gaussian,17.658,"(34.72937774658203, 30.658645629882812, 4.0707316398620605)","(24.626028060913086, 19.454349517822266, 5.1716790199279785)",86640,0,vae_hidden_size_100_batch_size_10_lr_0.001
vae,"(40.50391387939453, 34.93586349487305, 5.568048000335693)",4.695939779281616,synthetic_unimodal_data_length_20_skewed_gaussian,18.087,"(39.29777145385742, 33.599788665771484, 5.697983741760254)","(31.62334632873535, 24.489362716674805, 7.133981227874756)",86640,0,vae_hidden_size_100_batch_size_10_lr_0.0003
vae,"(35.14447021484375, 32.65983963012695, 2.484632730484009)",4.310604810714722,synthetic_unimodal_data_length_20_skewed_gaussian,16.942,"(34.62852096557617, 32.16807174682617, 2.460447072982788)","(23.26770782470703, 19.936742782592773, 3.330965042114258)",86640,0,vae_hidden_size_100_batch_size_20_lr_0.003
vae,"(35.26715850830078, 31.262577056884766, 4.004581451416016)",4.664642333984375,synthetic_unimodal_data_length_20_skewed_gaussian,17.175,"(34.13389205932617, 29.807600021362305, 4.326292514801025)","(24.12367820739746, 18.941146850585938, 5.182532787322998)",86640,0,vae_hidden_size_100_batch_size_20_lr_0.001
vae,"(39.03093719482422, 33.4595947265625, 5.5713419914245605)",5.0203611850738525,synthetic_unimodal_data_length_20_skewed_gaussian,18.007,"(37.78702163696289, 32.145999908447266, 5.641022682189941)","(28.79302978515625, 21.343809127807617, 7.44921875)",86640,0,vae_hidden_size_100_batch_size_20_lr_0.0003
vae,"(36.5707893371582, 34.892086029052734, 1.6787033081054688)",4.621583938598633,synthetic_unimodal_data_length_20_skewed_gaussian,15.734,"(35.472408294677734, 33.76542663574219, 1.7069820165634155)","(22.08028793334961, 19.602615356445312, 2.4776713848114014)",172840,0,vae_hidden_size_200_batch_size_10_lr_0.003
vae,"(34.80967712402344, 31.70648193359375, 3.1031951904296875)",5.217456340789795,synthetic_unimodal_data_length_20_skewed_gaussian,16.989,"(35.24978256225586, 31.97657585144043, 3.273207187652588)","(23.18444061279297, 19.0454158782959, 4.139024257659912)",172840,0,vae_hidden_size_200_batch_size_10_lr_0.001
vae,"(35.29993438720703, 31.39592933654785, 3.904003143310547)",5.942187309265137,synthetic_unimodal_data_length_20_skewed_gaussian,17.349,"(33.79413986206055, 29.6352596282959, 4.158880233764648)","(25.76991081237793, 20.529041290283203, 5.240867614746094)",172840,0,vae_hidden_size_200_batch_size_10_lr_0.0003
vae,"(35.87046813964844, 34.15412139892578, 1.7163480520248413)",4.879688024520874,synthetic_unimodal_data_length_20_skewed_gaussian,16.146,"(34.47921371459961, 32.67331314086914, 1.8058995008468628)","(23.9737548828125, 21.37696647644043, 2.596790313720703)",172840,0,vae_hidden_size_200_batch_size_20_lr_0.003
vae,"(36.717201232910156, 32.923824310302734, 3.793377637863159)",5.833078384399414,synthetic_unimodal_data_length_20_skewed_gaussian,17.159,"(35.52130126953125, 31.57454490661621, 3.9467570781707764)","(24.728017807006836, 19.72364616394043, 5.004371643066406)",172840,0,vae_hidden_size_200_batch_size_20_lr_0.001
vae,"(36.98493194580078, 32.230995178222656, 4.753935813903809)",6.069514989852905,synthetic_unimodal_data_length_20_skewed_gaussian,17.71,"(34.733577728271484, 29.712148666381836, 5.021425724029541)","(29.398691177368164, 22.95061492919922, 6.4480767250061035)",172840,0,vae_hidden_size_200_batch_size_20_lr_0.0003
vae,"(34.81621170043945, 31.8478946685791, 2.968318223953247)",3.782460927963257,synthetic_unimodal_data_length_20_uniform,16.852,"(35.712059020996094, 32.73187255859375, 2.9801862239837646)","(24.22701644897461, 20.404481887817383, 3.8225343227386475)",86640,0,vae_hidden_size_100_batch_size_10_lr_0.003
vae,"(32.74605941772461, 30.089527130126953, 2.656534433364868)",4.689694404602051,synthetic_unimodal_data_length_20_uniform,16.298,"(33.70406723022461, 30.968725204467773, 2.7353436946868896)","(24.144407272338867, 20.717296600341797, 3.427109479904175)",86640,0,vae_hidden_size_100_batch_size_10_lr_0.001
vae,"(37.4305419921875, 30.570947647094727, 6.859594821929932)",4.640989065170288,synthetic_unimodal_data_length_20_uniform,18.252,"(39.298702239990234, 32.15583419799805, 7.142869472503662)","(33.129146575927734, 24.762895584106445, 8.366251945495605)",86640,0,vae_hidden_size_100_batch_size_10_lr_0.0003
vae,"(36.112667083740234, 33.25469970703125, 2.8579652309417725)",4.560699939727783,synthetic_unimodal_data_length_20_uniform,16.857,"(34.54581832885742, 31.730371475219727, 2.8154447078704834)","(23.428373336791992, 19.8174991607666, 3.610872745513916)",86640,0,vae_hidden_size_100_batch_size_20_lr_0.003
vae,"(34.501853942871094, 30.136138916015625, 4.365712642669678)",4.62065577507019,synthetic_unimodal_data_length_20_uniform,17.128,"(35.6793327331543, 31.2744140625, 4.404915809631348)","(24.170948028564453, 18.895017623901367, 5.2759318351745605)",86640,0,vae_hidden_size_100_batch_size_20_lr_0.001
vae,"(36.396541595458984, 30.482023239135742, 5.914520263671875)",5.276533842086792,synthetic_unimodal_data_length_20_uniform,18.097,"(36.772071838378906, 30.813634872436523, 5.958436489105225)","(30.399795532226562, 23.326030731201172, 7.073765754699707)",86640,0,vae_hidden_size_100_batch_size_20_lr_0.0003
